,SYMBOL,TIME,PRICE
0,BTCBUSD,2021-02-27_12-59-08,47117
1,BTCBUSD,2021-02-27_12-59-09,47107
2,BTCBUSD,2021-02-27_12-59-10,47107
3,BTCBUSD,2021-02-27_12-59-11,47103
4,BTCBUSD,2021-02-27_12-59-12,47103
5,BTCBUSD,2021-02-27_12-59-13,47103
