TIME,BTCBUSD,ETHBUSD,ADABUSD,IOTABUSD,LTCBUSD,ZECBUSD
2021-02-28 00:16:49,45536.01000000,1452.57000000,169.55000000,1.28681000,119.78000000,1.14310000
2021-02-28 00:16:50,45552.83000000,1453.72000000,169.64000000,1.28675000,119.78000000,1.14310000
2021-02-28 00:16:51,45548.21000000,1452.82000000,169.64000000,1.28381000,119.78000000,1.14310000
2021-02-28 00:16:52,45546.18000000,1452.46000000,169.66000000,1.28381000,119.78000000,1.14310000
2021-02-28 00:16:53,45538.04000000,1452.51000000,169.66000000,1.28381000,119.78000000,1.14310000
2021-02-28 00:16:54,45533.66000000,1452.55000000,169.66000000,1.28381000,119.78000000,1.14310000
2021-02-28 00:16:55,45533.98000000,1452.55000000,169.66000000,1.28386000,119.78000000,1.14310000
2021-02-28 00:16:56,45533.98000000,1452.62000000,169.66000000,1.28611000,119.78000000,1.14310000
2021-02-28 00:16:57,45538.04000000,1452.88000000,169.66000000,1.28687000,119.78000000,1.14310000
2021-02-28 00:16:58,45538.04000000,1452.88000000,169.66000000,1.28687000,119.78000000,1.14310000
