SYMBOL,TIME,PRICE
BTCBUSD,2021_02_27__13_14_59,47195
BTCBUSD,2021_02_27__13_15_00,47195
BTCBUSD,2021_02_27__13_15_01,47197
BTCBUSD,2021_02_27__13_15_02,47192
BTCBUSD,2021_02_27__13_15_03,47187
BTCBUSD,2021_02_27__13_15_04,47177
BTCBUSD,2021_02_27__13_15_05,47177
BTCBUSD,2021_02_27__13_15_06,47177
BTCBUSD,2021_02_27__13_15_07,47177
BTCBUSD,2021_02_27__13_15_08,47177
BTCBUSD,2021_02_27__13_15_09,47170
BTCBUSD,2021_02_27__13_15_10,47162
BTCBUSD,2021_02_27__13_15_11,47162
BTCBUSD,2021_02_27__13_15_12,47158
BTCBUSD,2021_02_27__13_15_13,47158
BTCBUSD,2021_02_27__13_15_14,47153
BTCBUSD,2021_02_27__13_15_15,47152
BTCBUSD,2021_02_27__13_15_16,47152
BTCBUSD,2021_02_27__13_15_17,47152
BTCBUSD,2021_02_27__13_15_18,47150
BTCBUSD,2021_02_27__13_15_19,47150
BTCBUSD,2021_02_27__13_15_20,47152
BTCBUSD,2021_02_27__13_15_21,47152
BTCBUSD,2021_02_27__13_15_22,47154
BTCBUSD,2021_02_27__13_15_23,47154
BTCBUSD,2021_02_27__13_15_24,47166
BTCBUSD,2021_02_27__13_15_25,47168
BTCBUSD,2021_02_27__13_15_26,47168
BTCBUSD,2021_02_27__13_15_27,47163
BTCBUSD,2021_02_27__13_15_28,47157
BTCBUSD,2021_02_27__13_15_29,47160
BTCBUSD,2021_02_27__13_15_30,47156
BTCBUSD,2021_02_27__13_15_31,47158
BTCBUSD,2021_02_27__13_15_32,47171
BTCBUSD,2021_02_27__13_15_33,47177
BTCBUSD,2021_02_27__13_15_34,47176
BTCBUSD,2021_02_27__13_15_35,47173
BTCBUSD,2021_02_27__13_15_36,47173
BTCBUSD,2021_02_27__13_15_37,47173
BTCBUSD,2021_02_27__13_15_38,47173
BTCBUSD,2021_02_27__13_15_39,47174
BTCBUSD,2021_02_27__13_15_40,47175
BTCBUSD,2021_02_27__13_15_41,47175
BTCBUSD,2021_02_27__13_15_42,47178
BTCBUSD,2021_02_27__13_15_43,47178
BTCBUSD,2021_02_27__13_15_44,47178
BTCBUSD,2021_02_27__13_15_45,47175
BTCBUSD,2021_02_27__13_15_46,47175
BTCBUSD,2021_02_27__13_15_47,47175
BTCBUSD,2021_02_27__13_15_48,47175
BTCBUSD,2021_02_27__13_15_49,47180
BTCBUSD,2021_02_27__13_15_50,47180
BTCBUSD,2021_02_27__13_15_51,47180
BTCBUSD,2021_02_27__13_15_52,47180
BTCBUSD,2021_02_27__13_15_53,47180
BTCBUSD,2021_02_27__13_15_54,47180
BTCBUSD,2021_02_27__13_15_55,47180
BTCBUSD,2021_02_27__13_15_56,47180
BTCBUSD,2021_02_27__13_15_57,47180
BTCBUSD,2021_02_27__13_15_58,47180
BTCBUSD,2021_02_27__13_15_59,47180
BTCBUSD,2021_02_27__13_16_00,47180
BTCBUSD,2021_02_27__13_16_01,47180
BTCBUSD,2021_02_27__13_16_02,47193
BTCBUSD,2021_02_27__13_16_03,47227
BTCBUSD,2021_02_27__13_16_04,47219
BTCBUSD,2021_02_27__13_16_05,47212
BTCBUSD,2021_02_27__13_16_06,47210
BTCBUSD,2021_02_27__13_16_07,47216
BTCBUSD,2021_02_27__13_16_08,47211
BTCBUSD,2021_02_27__13_16_09,47211
BTCBUSD,2021_02_27__13_16_10,47211
BTCBUSD,2021_02_27__13_16_11,47211
BTCBUSD,2021_02_27__13_16_12,47211
BTCBUSD,2021_02_27__13_16_13,47211
BTCBUSD,2021_02_27__13_16_14,47211
BTCBUSD,2021_02_27__13_16_15,47209
BTCBUSD,2021_02_27__13_16_16,47222
BTCBUSD,2021_02_27__13_16_17,47228
BTCBUSD,2021_02_27__13_16_18,47242
BTCBUSD,2021_02_27__13_16_19,47251
BTCBUSD,2021_02_27__13_16_20,47251
BTCBUSD,2021_02_27__13_16_21,47251
BTCBUSD,2021_02_27__13_16_22,47249
BTCBUSD,2021_02_27__13_16_23,47242
BTCBUSD,2021_02_27__13_16_24,47242
BTCBUSD,2021_02_27__13_16_25,47249
BTCBUSD,2021_02_27__13_16_26,47246
BTCBUSD,2021_02_27__13_16_27,47251
BTCBUSD,2021_02_27__13_16_28,47262
BTCBUSD,2021_02_27__13_16_29,47262
BTCBUSD,2021_02_27__13_16_30,47262
BTCBUSD,2021_02_27__13_16_31,47262
BTCBUSD,2021_02_27__13_16_32,47258
BTCBUSD,2021_02_27__13_16_33,47258
BTCBUSD,2021_02_27__13_16_34,47262
BTCBUSD,2021_02_27__13_16_35,47262
BTCBUSD,2021_02_27__13_16_36,47257
BTCBUSD,2021_02_27__13_16_37,47257
BTCBUSD,2021_02_27__13_16_38,47260
BTCBUSD,2021_02_27__13_16_39,47249
BTCBUSD,2021_02_27__13_16_40,47246
BTCBUSD,2021_02_27__13_16_41,47245
BTCBUSD,2021_02_27__13_16_42,47245
BTCBUSD,2021_02_27__13_16_43,47244
BTCBUSD,2021_02_27__13_16_44,47244
BTCBUSD,2021_02_27__13_16_45,47247
BTCBUSD,2021_02_27__13_16_46,47245
BTCBUSD,2021_02_27__13_16_47,47245
BTCBUSD,2021_02_27__13_16_48,47245
BTCBUSD,2021_02_27__13_16_49,47247
BTCBUSD,2021_02_27__13_16_50,47250
BTCBUSD,2021_02_27__13_16_51,47249
BTCBUSD,2021_02_27__13_16_52,47249
BTCBUSD,2021_02_27__13_16_53,47249
BTCBUSD,2021_02_27__13_16_54,47249
BTCBUSD,2021_02_27__13_16_55,47243
BTCBUSD,2021_02_27__13_16_56,47239
BTCBUSD,2021_02_27__13_16_57,47239
BTCBUSD,2021_02_27__13_16_58,47239
BTCBUSD,2021_02_27__13_16_59,47239
BTCBUSD,2021_02_27__13_17_00,47239
BTCBUSD,2021_02_27__13_17_01,47239
BTCBUSD,2021_02_27__13_17_02,47239
BTCBUSD,2021_02_27__13_17_03,47239
BTCBUSD,2021_02_27__13_17_04,47239
BTCBUSD,2021_02_27__13_17_05,47239
BTCBUSD,2021_02_27__13_17_06,47239
BTCBUSD,2021_02_27__13_17_07,47239
BTCBUSD,2021_02_27__13_17_08,47235
BTCBUSD,2021_02_27__13_17_09,47239
BTCBUSD,2021_02_27__13_17_10,47236
BTCBUSD,2021_02_27__13_17_11,47235
BTCBUSD,2021_02_27__13_17_12,47222
BTCBUSD,2021_02_27__13_17_13,47202
BTCBUSD,2021_02_27__13_17_14,47205
BTCBUSD,2021_02_27__13_17_15,47219
BTCBUSD,2021_02_27__13_17_16,47214
BTCBUSD,2021_02_27__13_17_17,47207
BTCBUSD,2021_02_27__13_17_18,47207
BTCBUSD,2021_02_27__13_17_19,47202
BTCBUSD,2021_02_27__13_17_20,47202
BTCBUSD,2021_02_27__13_17_21,47202
BTCBUSD,2021_02_27__13_17_22,47202
BTCBUSD,2021_02_27__13_17_23,47189
BTCBUSD,2021_02_27__13_17_24,47189
BTCBUSD,2021_02_27__13_17_25,47189
BTCBUSD,2021_02_27__13_17_26,47189
BTCBUSD,2021_02_27__13_17_27,47187
BTCBUSD,2021_02_27__13_17_28,47181
BTCBUSD,2021_02_27__13_17_29,47179
BTCBUSD,2021_02_27__13_17_30,47179
BTCBUSD,2021_02_27__13_17_31,47178
BTCBUSD,2021_02_27__13_17_32,47174
BTCBUSD,2021_02_27__13_17_33,47171
BTCBUSD,2021_02_27__13_17_34,47167
BTCBUSD,2021_02_27__13_17_35,47167
BTCBUSD,2021_02_27__13_17_36,47167
BTCBUSD,2021_02_27__13_17_37,47167
BTCBUSD,2021_02_27__13_17_38,47160
BTCBUSD,2021_02_27__13_17_39,47160
BTCBUSD,2021_02_27__13_17_40,47160
BTCBUSD,2021_02_27__13_17_41,47166
BTCBUSD,2021_02_27__13_17_42,47179
BTCBUSD,2021_02_27__13_17_43,47182
BTCBUSD,2021_02_27__13_17_44,47182
BTCBUSD,2021_02_27__13_17_45,47189
BTCBUSD,2021_02_27__13_17_46,47176
BTCBUSD,2021_02_27__13_17_47,47174
BTCBUSD,2021_02_27__13_17_48,47157
BTCBUSD,2021_02_27__13_17_49,47160
BTCBUSD,2021_02_27__13_17_50,47160
BTCBUSD,2021_02_27__13_17_51,47155
BTCBUSD,2021_02_27__13_17_52,47155
BTCBUSD,2021_02_27__13_17_53,47155
BTCBUSD,2021_02_27__13_17_54,47155
BTCBUSD,2021_02_27__13_17_55,47159
BTCBUSD,2021_02_27__13_17_56,47154
BTCBUSD,2021_02_27__13_17_57,47162
BTCBUSD,2021_02_27__13_17_58,47160
BTCBUSD,2021_02_27__13_17_59,47156
BTCBUSD,2021_02_27__13_18_00,47155
BTCBUSD,2021_02_27__13_18_01,47155
BTCBUSD,2021_02_27__13_18_02,47155
BTCBUSD,2021_02_27__13_18_03,47153
BTCBUSD,2021_02_27__13_18_04,47160
BTCBUSD,2021_02_27__13_18_05,47150
BTCBUSD,2021_02_27__13_18_06,47150
BTCBUSD,2021_02_27__13_18_07,47150
BTCBUSD,2021_02_27__13_18_08,47150
BTCBUSD,2021_02_27__13_18_09,47150
BTCBUSD,2021_02_27__13_18_10,47152
BTCBUSD,2021_02_27__13_18_11,47147
BTCBUSD,2021_02_27__13_18_12,47147
BTCBUSD,2021_02_27__13_18_13,47147
BTCBUSD,2021_02_27__13_18_14,47149
BTCBUSD,2021_02_27__13_18_15,47149
BTCBUSD,2021_02_27__13_18_16,47149
BTCBUSD,2021_02_27__13_18_17,47149
BTCBUSD,2021_02_27__13_18_18,47149
BTCBUSD,2021_02_27__13_18_19,47135
BTCBUSD,2021_02_27__13_18_20,47128
BTCBUSD,2021_02_27__13_18_21,47128
BTCBUSD,2021_02_27__13_18_22,47126
BTCBUSD,2021_02_27__13_18_23,47126
BTCBUSD,2021_02_27__13_18_24,47126
BTCBUSD,2021_02_27__13_18_25,47126
BTCBUSD,2021_02_27__13_18_26,47126
BTCBUSD,2021_02_27__13_18_27,47126
BTCBUSD,2021_02_27__13_18_28,47126
BTCBUSD,2021_02_27__13_18_29,47126
BTCBUSD,2021_02_27__13_18_30,47126
BTCBUSD,2021_02_27__13_18_31,47126
BTCBUSD,2021_02_27__13_18_32,47126
BTCBUSD,2021_02_27__13_18_33,47126
BTCBUSD,2021_02_27__13_18_34,47126
BTCBUSD,2021_02_27__13_18_35,47126
BTCBUSD,2021_02_27__13_18_36,47126
BTCBUSD,2021_02_27__13_18_37,47126
BTCBUSD,2021_02_27__13_18_38,47126
BTCBUSD,2021_02_27__13_18_39,47126
BTCBUSD,2021_02_27__13_18_40,47126
BTCBUSD,2021_02_27__13_18_41,47126
BTCBUSD,2021_02_27__13_18_42,47126
BTCBUSD,2021_02_27__13_18_43,47119
BTCBUSD,2021_02_27__13_18_44,47111
BTCBUSD,2021_02_27__13_18_45,47100
BTCBUSD,2021_02_27__13_18_46,47101
BTCBUSD,2021_02_27__13_18_47,47101
BTCBUSD,2021_02_27__13_18_48,47121
BTCBUSD,2021_02_27__13_18_49,47122
BTCBUSD,2021_02_27__13_18_50,47122
BTCBUSD,2021_02_27__13_18_51,47122
BTCBUSD,2021_02_27__13_18_52,47117
BTCBUSD,2021_02_27__13_18_53,47115
BTCBUSD,2021_02_27__13_18_54,47117
BTCBUSD,2021_02_27__13_18_55,47120
BTCBUSD,2021_02_27__13_18_56,47117
BTCBUSD,2021_02_27__13_18_57,47117
BTCBUSD,2021_02_27__13_18_58,47113
BTCBUSD,2021_02_27__13_18_59,47107
BTCBUSD,2021_02_27__13_19_00,47111
BTCBUSD,2021_02_27__13_19_01,47111
