SYMBOL,TIME,PRICE
BTCBUSD,2021-02-27_13-08-07,47228
BTCBUSD,2021-02-27_13-08-08,47226
BTCBUSD,2021-02-27_13-08-09,47226
BTCBUSD,2021-02-27_13-08-10,47228
BTCBUSD,2021-02-27_13-08-11,47226
BTCBUSD,2021-02-27_13-08-12,47226
BTCBUSD,2021-02-27_13-08-13,47240
BTCBUSD,2021-02-27_13-08-14,47237
BTCBUSD,2021-02-27_13-08-15,47237
BTCBUSD,2021-02-27_13-08-16,47236
