TIME,BTCBUSD,ETHBUSD,ADABUSD,IOTABUSD,LTCBUSD,ZECBUSD
2021-02-28 00:15:59,45545.93000000,1453.88000000,169.49000000,1.28414000,119.60000000,1.14410000
2021-02-28 00:16:00,45542.69000000,1453.72000000,169.49000000,1.28414000,119.60000000,1.14410000
2021-02-28 00:16:01,45542.77000000,1453.02000000,169.49000000,1.28414000,119.60000000,1.14410000
2021-02-28 00:16:02,45558.79000000,1453.71000000,169.50000000,1.28414000,119.60000000,1.14410000
2021-02-28 00:16:03,45551.16000000,1453.88000000,169.45000000,1.28414000,119.60000000,1.14410000
2021-02-28 00:16:04,45545.94000000,1453.87000000,169.58000000,1.28334000,119.60000000,1.14410000
2021-02-28 00:16:05,45550.24000000,1454.17000000,169.58000000,1.28456000,119.60000000,1.14410000
2021-02-28 00:16:06,45560.41000000,1454.16000000,169.58000000,1.28542000,119.60000000,1.14410000
2021-02-28 00:16:07,45558.40000000,1454.37000000,169.58000000,1.28847000,119.60000000,1.14410000
2021-02-28 00:16:08,45558.40000000,1454.37000000,169.58000000,1.28840000,119.60000000,1.14410000
