SYMBOL,TIME,PRICE
BTCBUSD,2021_02_27__22_39_43,46785
BTCBUSD,2021_02_27__22_39_44,46785
BTCBUSD,2021_02_27__22_39_45,46785
BTCBUSD,2021_02_27__22_39_46,46785
BTCBUSD,2021_02_27__22_39_47,46785
BTCBUSD,2021_02_27__22_39_48,46785
BTCBUSD,2021_02_27__22_39_49,46779
BTCBUSD,2021_02_27__22_39_50,46778
BTCBUSD,2021_02_27__22_39_51,46778
BTCBUSD,2021_02_27__22_39_52,46779
BTCBUSD,2021_02_27__22_39_53,46779
BTCBUSD,2021_02_27__22_39_54,46780
BTCBUSD,2021_02_27__22_39_55,46780
BTCBUSD,2021_02_27__22_39_56,46780
BTCBUSD,2021_02_27__22_39_57,46785
BTCBUSD,2021_02_27__22_39_58,46785
BTCBUSD,2021_02_27__22_39_59,46787
BTCBUSD,2021_02_27__22_40_00,46796
BTCBUSD,2021_02_27__22_40_01,46799
BTCBUSD,2021_02_27__22_40_02,46799
BTCBUSD,2021_02_27__22_40_03,46799
BTCBUSD,2021_02_27__22_40_04,46799
BTCBUSD,2021_02_27__22_40_05,46799
BTCBUSD,2021_02_27__22_40_06,46799
BTCBUSD,2021_02_27__22_40_07,46801
BTCBUSD,2021_02_27__22_40_08,46804
BTCBUSD,2021_02_27__22_40_09,46804
BTCBUSD,2021_02_27__22_40_10,46804
BTCBUSD,2021_02_27__22_40_11,46804
BTCBUSD,2021_02_27__22_40_12,46804
BTCBUSD,2021_02_27__22_40_13,46804
BTCBUSD,2021_02_27__22_40_14,46806
BTCBUSD,2021_02_27__22_40_15,46806
BTCBUSD,2021_02_27__22_40_16,46794
BTCBUSD,2021_02_27__22_40_17,46794
BTCBUSD,2021_02_27__22_40_18,46797
BTCBUSD,2021_02_27__22_40_19,46797
BTCBUSD,2021_02_27__22_40_20,46794
BTCBUSD,2021_02_27__22_40_21,46796
BTCBUSD,2021_02_27__22_40_22,46794
BTCBUSD,2021_02_27__22_40_23,46797
BTCBUSD,2021_02_27__22_40_24,46797
BTCBUSD,2021_02_27__22_40_25,46797
BTCBUSD,2021_02_27__22_40_26,46797
BTCBUSD,2021_02_27__22_40_27,46797
BTCBUSD,2021_02_27__22_40_28,46797
BTCBUSD,2021_02_27__22_40_29,46800
BTCBUSD,2021_02_27__22_40_30,46800
BTCBUSD,2021_02_27__22_40_31,46800
BTCBUSD,2021_02_27__22_40_32,46800
BTCBUSD,2021_02_27__22_40_33,46794
BTCBUSD,2021_02_27__22_40_34,46794
BTCBUSD,2021_02_27__22_40_35,46785
