TIME,BTCBUSD,ETHBUSD,ADABUSD,IOTABUSD,LTCBUSD,ZECBUSD
2021-02-28 00:16:19,45568.24000000,1454.11000000,169.61000000,1.28594000,119.60000000,1.14310000
2021-02-28 00:16:20,45570.92000000,1454.45000000,169.65000000,1.28879000,119.60000000,1.14310000
2021-02-28 00:16:21,45570.93000000,1454.82000000,169.64000000,1.28880000,119.78000000,1.14310000
2021-02-28 00:16:22,45578.71000000,1454.38000000,169.55000000,1.28880000,119.78000000,1.14310000
2021-02-28 00:16:23,45578.71000000,1454.71000000,169.64000000,1.28880000,119.78000000,1.14310000
2021-02-28 00:16:24,45543.97000000,1454.00000000,169.57000000,1.28631000,119.78000000,1.14310000
2021-02-28 00:16:25,45546.25000000,1454.00000000,169.57000000,1.28554000,119.78000000,1.14310000
2021-02-28 00:16:26,45557.74000000,1454.41000000,169.55000000,1.28419000,119.78000000,1.14310000
2021-02-28 00:16:27,45548.22000000,1454.00000000,169.57000000,1.28419000,119.78000000,1.14310000
2021-02-28 00:16:28,45558.37000000,1454.22000000,169.64000000,1.28709000,119.78000000,1.14310000
