TIME,BTCBUSD,ETHBUSD,ADABUSD,IOTABUSD,LTCBUSD,ZECBUSD
2021-02-28 00:17:19,45436.35000000,1448.01000000,169.23000000,1.27726000,119.78000000,1.14310000
2021-02-28 00:17:20,45426.18000000,1447.81000000,169.23000000,1.27643000,119.78000000,1.14010000
2021-02-28 00:17:21,45400.00000000,1447.40000000,169.08000000,1.27501000,119.54000000,1.13980000
2021-02-28 00:17:22,45400.00000000,1447.38000000,169.05000000,1.27516000,119.54000000,1.13980000
2021-02-28 00:17:23,45389.67000000,1447.08000000,169.03000000,1.27516000,119.54000000,1.13980000
2021-02-28 00:17:24,45393.63000000,1447.20000000,169.00000000,1.27506000,119.54000000,1.13980000
2021-02-28 00:17:25,45393.64000000,1447.50000000,169.00000000,1.27764000,119.54000000,1.13980000
2021-02-28 00:17:26,45391.36000000,1447.22000000,168.99000000,1.27500000,119.54000000,1.13980000
2021-02-28 00:17:27,45375.33000000,1446.88000000,168.91000000,1.27660000,119.54000000,1.13980000
2021-02-28 00:17:28,45366.05000000,1446.60000000,168.91000000,1.27510000,119.54000000,1.13980000
