TIME,BTCBUSD,ETHBUSD,ADABUSD,IOTABUSD,LTCBUSD,ZECBUSD
2021-02-28 00:16:29,45556.34000000,1454.37000000,169.64000000,1.28501000,119.78000000,1.14310000
2021-02-28 00:16:30,45544.16000000,1454.00000000,169.54000000,1.28607000,119.78000000,1.14310000
2021-02-28 00:16:31,45536.93000000,1454.00000000,169.49000000,1.28600000,119.78000000,1.14310000
2021-02-28 00:16:32,45536.93000000,1454.00000000,169.49000000,1.28690000,119.78000000,1.14310000
2021-02-28 00:16:33,45545.93000000,1454.00000000,169.50000000,1.28690000,119.78000000,1.14310000
2021-02-28 00:16:34,45540.33000000,1453.08000000,169.57000000,1.28692000,119.78000000,1.14310000
2021-02-28 00:16:35,45531.95000000,1452.48000000,169.43000000,1.28500000,119.78000000,1.14310000
2021-02-28 00:16:36,45522.27000000,1451.82000000,169.41000000,1.28673000,119.78000000,1.14310000
2021-02-28 00:16:37,45513.87000000,1451.84000000,169.41000000,1.28380000,119.78000000,1.14310000
2021-02-28 00:16:38,45511.78000000,1451.85000000,169.41000000,1.28655000,119.78000000,1.14310000
