TIME,BTCBUSD
2021-03-03 00:05:12,47916.06
2021-03-03 00:05:13,47916.07
2021-03-03 00:05:14,47912.08
2021-03-03 00:05:15,47912.08
2021-03-03 00:05:16,47912.15
2021-03-03 00:05:17,47912.15
2021-03-03 00:05:18,47900.0
2021-03-03 00:05:19,47879.48
2021-03-03 00:05:20,47870.04
2021-03-03 00:05:21,47864.82
2021-03-03 00:05:22,47857.4
2021-03-03 00:05:23,47857.15
2021-03-03 00:05:24,47839.35
2021-03-03 00:05:25,47839.34
2021-03-03 00:05:26,47839.25
2021-03-03 00:05:27,47834.77
2021-03-03 00:05:28,47831.26
2021-03-03 00:05:29,47831.26
2021-03-03 00:05:30,47819.6
2021-03-03 00:05:31,47822.8
2021-03-03 00:05:32,47851.6
2021-03-03 00:05:33,47846.07
2021-03-03 00:05:34,47876.95
2021-03-03 00:05:35,47876.94
2021-03-03 00:05:36,47878.2
2021-03-03 00:05:37,47878.23
2021-03-03 00:05:38,47878.23
2021-03-03 00:05:39,47879.28
2021-03-03 00:05:40,47892.92
2021-03-03 00:05:41,47892.92
2021-03-03 00:05:42,47894.31
2021-03-03 00:05:43,47895.38
2021-03-03 00:05:44,47901.59
2021-03-03 00:05:45,47902.78
2021-03-03 00:05:46,47913.21
2021-03-03 00:05:47,47919.59
2021-03-03 00:05:48,47926.36
2021-03-03 00:05:49,47936.98
2021-03-03 00:05:50,47936.99
2021-03-03 00:05:51,47937.5
2021-03-03 00:05:52,47938.77
2021-03-03 00:05:53,47939.18
2021-03-03 00:05:54,47939.18
2021-03-03 00:05:55,47947.0
2021-03-03 00:05:56,47950.95
2021-03-03 00:05:57,47941.28
2021-03-03 00:05:58,47941.27
2021-03-03 00:05:59,47923.44
2021-03-03 00:06:00,47923.44
2021-03-03 00:06:01,47945.66
2021-03-03 00:06:02,47949.29
2021-03-03 00:06:03,47954.07
2021-03-03 00:06:04,47960.65
2021-03-03 00:06:05,47969.0
2021-03-03 00:06:06,47975.95
2021-03-03 00:06:07,47979.99
2021-03-03 00:06:08,47979.99
2021-03-03 00:06:09,47964.62
2021-03-03 00:06:10,47969.7
2021-03-03 00:06:11,47992.92
2021-03-03 00:06:12,47992.92
2021-03-03 00:06:13,47992.92
2021-03-03 00:06:14,47993.25
2021-03-03 00:06:15,48004.82
2021-03-03 00:06:16,48032.93
2021-03-03 00:06:17,48062.07
2021-03-03 00:06:18,48068.59
2021-03-03 00:06:19,48077.57
2021-03-03 00:06:20,48079.99
2021-03-03 00:06:21,48089.99
2021-03-03 00:06:22,48100.0
2021-03-03 00:06:23,48100.0
2021-03-03 00:06:24,48100.0
2021-03-03 00:06:25,48100.0
2021-03-03 00:06:26,48100.0
2021-03-03 00:06:27,48122.85
2021-03-03 00:06:28,48129.44
2021-03-03 00:06:29,48137.71
2021-03-03 00:06:30,48146.01
2021-03-03 00:06:31,48153.09
2021-03-03 00:06:32,48134.47
2021-03-03 00:06:33,48130.37
2021-03-03 00:06:34,48107.02
2021-03-03 00:06:35,48093.43
2021-03-03 00:06:36,48089.18
2021-03-03 00:06:37,48106.68
2021-03-03 00:06:38,48126.94
2021-03-03 00:06:39,48145.52
2021-03-03 00:06:40,48145.07
2021-03-03 00:06:41,48151.78
2021-03-03 00:06:42,48145.85
2021-03-03 00:06:43,48161.14
2021-03-03 00:06:44,48167.0
2021-03-03 00:06:45,48167.94
2021-03-03 00:06:46,48175.76
2021-03-03 00:06:47,48187.65
2021-03-03 00:06:48,48187.01
2021-03-03 00:06:49,48180.59
2021-03-03 00:06:50,48180.58
2021-03-03 00:06:51,48187.01
2021-03-03 00:06:52,48190.03
2021-03-03 00:06:53,48191.38
2021-03-03 00:06:54,48179.61
2021-03-03 00:06:55,48180.9
2021-03-03 00:06:56,48178.64
2021-03-03 00:06:57,48152.86
2021-03-03 00:06:58,48164.49
2021-03-03 00:06:59,48164.49
2021-03-03 00:07:00,48179.99
2021-03-03 00:07:01,48173.18
2021-03-03 00:07:02,48172.72
2021-03-03 00:07:03,48160.99
2021-03-03 00:07:04,48162.54
2021-03-03 00:07:05,48186.37
2021-03-03 00:07:06,48170.65
2021-03-03 00:07:07,48124.08
2021-03-03 00:07:08,48120.19
2021-03-03 00:07:09,48118.56
2021-03-03 00:07:10,48119.75
2021-03-03 00:07:11,48133.01
2021-03-03 00:07:12,48122.25
2021-03-03 00:07:13,48120.96
2021-03-03 00:07:14,48107.39
2021-03-03 00:07:15,48103.17
2021-03-03 00:07:16,48103.17
2021-03-03 00:07:17,48102.04
2021-03-03 00:07:18,48102.04
2021-03-03 00:07:19,48075.93
2021-03-03 00:07:20,48087.03
2021-03-03 00:07:21,48101.48
2021-03-03 00:07:22,48111.59
2021-03-03 00:07:23,48115.9
2021-03-03 00:07:24,48115.9
2021-03-03 00:07:25,48105.04
2021-03-03 00:07:26,48108.33
2021-03-03 00:07:27,48117.48
2021-03-03 00:07:28,48105.48
2021-03-03 00:07:29,48127.89
2021-03-03 00:07:30,48131.56
2021-03-03 00:07:31,48139.08
2021-03-03 00:07:32,48142.52
2021-03-03 00:07:33,48142.31
2021-03-03 00:07:34,48150.25
2021-03-03 00:07:35,48157.65
2021-03-03 00:07:36,48157.64
2021-03-03 00:07:37,48157.64
2021-03-03 00:07:38,48152.72
2021-03-03 00:07:39,48145.55
2021-03-03 00:07:40,48150.16
2021-03-03 00:07:41,48153.34
2021-03-03 00:07:42,48159.09
2021-03-03 00:07:43,48159.09
2021-03-03 00:07:44,48165.39
2021-03-03 00:07:45,48165.39
2021-03-03 00:07:46,48161.46
2021-03-03 00:07:47,48155.96
2021-03-03 00:07:48,48144.09
2021-03-03 00:07:49,48158.37
2021-03-03 00:07:50,48158.36
2021-03-03 00:07:51,48169.33
2021-03-03 00:07:52,48166.89
