TIME,BTCBUSD,ETHBUSD,ADABUSD,IOTABUSD,LTCBUSD,ZECBUSD
2021-02-28 00:16:09,45558.39000000,1454.37000000,169.58000000,1.28840000,119.60000000,1.14370000
2021-02-28 00:16:10,45550.25000000,1454.01000000,169.58000000,1.28717000,119.60000000,1.14360000
2021-02-28 00:16:11,45572.62000000,1454.71000000,169.58000000,1.28718000,119.60000000,1.14360000
2021-02-28 00:16:12,45590.93000000,1454.89000000,169.72000000,1.28839000,119.60000000,1.14280000
2021-02-28 00:16:13,45600.84000000,1455.05000000,169.72000000,1.28839000,119.60000000,1.14280000
2021-02-28 00:16:14,45599.03000000,1454.93000000,169.72000000,1.28839000,119.60000000,1.14280000
2021-02-28 00:16:15,45599.04000000,1454.89000000,169.72000000,1.28880000,119.60000000,1.14280000
2021-02-28 00:16:16,45576.69000000,1454.64000000,169.74000000,1.28880000,119.60000000,1.14310000
2021-02-28 00:16:17,45565.37000000,1454.22000000,169.84000000,1.28880000,119.60000000,1.14310000
2021-02-28 00:16:18,45555.73000000,1454.00000000,169.61000000,1.28594000,119.60000000,1.14310000
