TIME,BTCBUSD,ETHBUSD,ADABUSD,IOTABUSD,LTCBUSD,ZECBUSD
2021-02-28 00:17:09,45493.32000000,1451.19000000,169.36000000,1.28353000,119.78000000,1.14310000
2021-02-28 00:17:10,45490.41000000,1450.90000000,169.34000000,1.28360000,119.78000000,1.14310000
2021-02-28 00:17:11,45500.06000000,1452.04000000,169.51000000,1.28436000,119.78000000,1.14310000
2021-02-28 00:17:12,45523.81000000,1452.21000000,169.59000000,1.28486000,119.78000000,1.14310000
2021-02-28 00:17:13,45499.42000000,1450.38000000,169.52000000,1.28387000,119.78000000,1.14310000
2021-02-28 00:17:14,45499.42000000,1449.71000000,169.49000000,1.28378000,119.78000000,1.14310000
2021-02-28 00:17:15,45477.41000000,1449.18000000,169.37000000,1.28133000,119.78000000,1.14310000
2021-02-28 00:17:16,45458.72000000,1448.51000000,169.37000000,1.27998000,119.78000000,1.14310000
2021-02-28 00:17:17,45455.08000000,1448.34000000,169.37000000,1.27998000,119.78000000,1.14310000
2021-02-28 00:17:18,45449.31000000,1448.38000000,169.37000000,1.27946000,119.78000000,1.14310000
