TIME,BTCBUSD,ETHBUSD,ADABUSD,IOTABUSD,LTCBUSD,ZECBUSD
2021-02-28 00:17:29,45363.13000000,1446.22000000,168.91000000,1.27480000,119.54000000,1.13680000
2021-02-28 00:17:30,45345.86000000,1446.16000000,168.80000000,1.27480000,119.54000000,1.13680000
2021-02-28 00:17:31,45339.60000000,1446.16000000,168.75000000,1.27470000,119.54000000,1.13680000
2021-02-28 00:17:32,45332.63000000,1445.57000000,168.75000000,1.27519000,119.54000000,1.13560000
2021-02-28 00:17:33,45328.55000000,1445.41000000,168.75000000,1.27201000,119.54000000,1.13560000
2021-02-28 00:17:34,45318.00000000,1444.89000000,168.75000000,1.27201000,119.14000000,1.13560000
2021-02-28 00:17:35,45336.67000000,1445.16000000,168.72000000,1.27459000,119.14000000,1.13560000
2021-02-28 00:17:36,45344.83000000,1444.68000000,168.81000000,1.27512000,119.14000000,1.13560000
2021-02-28 00:17:37,45338.72000000,1444.55000000,168.76000000,1.27259000,119.14000000,1.13560000
2021-02-28 00:17:38,45336.68000000,1443.46000000,168.76000000,1.27509000,119.14000000,1.13560000
