TIME,BTCBUSD,ETHBUSD,ADABUSD,IOTABUSD,LTCBUSD,ZECBUSD
2021-02-28 00:15:49,45548.99000000,1453.23000000,169.36000000,1.28309000,119.76000000,1.14410000
2021-02-28 00:15:50,45544.15000000,1453.44000000,169.40000000,1.28316000,119.76000000,1.14410000
2021-02-28 00:15:51,45544.15000000,1453.32000000,169.44000000,1.28314000,119.76000000,1.14410000
2021-02-28 00:15:52,45540.82000000,1453.53000000,169.44000000,1.28314000,119.76000000,1.14410000
2021-02-28 00:15:53,45568.34000000,1454.55000000,169.46000000,1.28356000,119.76000000,1.14410000
2021-02-28 00:15:54,45568.34000000,1454.36000000,169.48000000,1.28583000,119.76000000,1.14410000
2021-02-28 00:15:55,45548.01000000,1454.00000000,169.49000000,1.28583000,119.76000000,1.14410000
2021-02-28 00:15:56,45561.42000000,1454.43000000,169.49000000,1.28469000,119.60000000,1.14410000
2021-02-28 00:15:57,45551.40000000,1454.31000000,169.49000000,1.28469000,119.60000000,1.14410000
2021-02-28 00:15:58,45542.12000000,1453.89000000,169.49000000,1.28095000,119.60000000,1.14410000
