SYMBOL,TIME,PRICE
BTCBUSD,2021_02_27__17_20_55,46632
BTCBUSD,2021_02_27__17_20_56,46632
BTCBUSD,2021_02_27__17_20_57,46632
BTCBUSD,2021_02_27__17_20_58,46633
BTCBUSD,2021_02_27__17_20_59,46640
BTCBUSD,2021_02_27__17_21_00,46640
BTCBUSD,2021_02_27__17_21_01,46639
BTCBUSD,2021_02_27__17_21_02,46636
BTCBUSD,2021_02_27__17_21_03,46630
BTCBUSD,2021_02_27__17_21_04,46621
BTCBUSD,2021_02_27__17_21_05,46612
BTCBUSD,2021_02_27__17_21_06,46612
BTCBUSD,2021_02_27__17_21_07,46619
BTCBUSD,2021_02_27__17_21_08,46619
BTCBUSD,2021_02_27__17_21_09,46610
BTCBUSD,2021_02_27__17_21_10,46610
BTCBUSD,2021_02_27__17_21_11,46610
BTCBUSD,2021_02_27__17_21_12,46608
BTCBUSD,2021_02_27__17_21_13,46600
BTCBUSD,2021_02_27__17_21_14,46599
BTCBUSD,2021_02_27__17_21_15,46593
BTCBUSD,2021_02_27__17_21_16,46591
BTCBUSD,2021_02_27__17_21_17,46591
BTCBUSD,2021_02_27__17_21_18,46594
BTCBUSD,2021_02_27__17_21_19,46603
BTCBUSD,2021_02_27__17_21_20,46606
BTCBUSD,2021_02_27__17_21_21,46605
BTCBUSD,2021_02_27__17_21_22,46617
BTCBUSD,2021_02_27__17_21_23,46625
BTCBUSD,2021_02_27__17_21_24,46631
BTCBUSD,2021_02_27__17_21_25,46631
BTCBUSD,2021_02_27__17_21_26,46639
BTCBUSD,2021_02_27__17_21_27,46634
BTCBUSD,2021_02_27__17_21_28,46630
BTCBUSD,2021_02_27__17_21_29,46628
BTCBUSD,2021_02_27__17_21_30,46617
BTCBUSD,2021_02_27__17_21_31,46614
BTCBUSD,2021_02_27__17_21_32,46607
BTCBUSD,2021_02_27__17_21_33,46608
BTCBUSD,2021_02_27__17_21_34,46612
BTCBUSD,2021_02_27__17_21_35,46618
BTCBUSD,2021_02_27__17_21_36,46618
BTCBUSD,2021_02_27__17_21_37,46622
BTCBUSD,2021_02_27__17_21_38,46624
BTCBUSD,2021_02_27__17_21_39,46626
BTCBUSD,2021_02_27__17_21_40,46626
BTCBUSD,2021_02_27__17_21_41,46626
BTCBUSD,2021_02_27__17_21_42,46626
BTCBUSD,2021_02_27__17_21_43,46632
BTCBUSD,2021_02_27__17_21_44,46642
BTCBUSD,2021_02_27__17_21_45,46647
BTCBUSD,2021_02_27__17_21_46,46649
BTCBUSD,2021_02_27__17_21_47,46647
BTCBUSD,2021_02_27__17_21_48,46647
BTCBUSD,2021_02_27__17_21_49,46647
BTCBUSD,2021_02_27__17_21_50,46651
BTCBUSD,2021_02_27__17_21_51,46658
BTCBUSD,2021_02_27__17_21_52,46667
BTCBUSD,2021_02_27__17_21_53,46662
BTCBUSD,2021_02_27__17_21_54,46655
BTCBUSD,2021_02_27__17_21_55,46654
BTCBUSD,2021_02_27__17_21_56,46654
BTCBUSD,2021_02_27__17_21_57,46654
BTCBUSD,2021_02_27__17_21_58,46654
BTCBUSD,2021_02_27__17_21_59,46654
BTCBUSD,2021_02_27__17_22_00,46654
BTCBUSD,2021_02_27__17_22_01,46656
BTCBUSD,2021_02_27__17_22_02,46651
BTCBUSD,2021_02_27__17_22_03,46651
BTCBUSD,2021_02_27__17_22_04,46651
BTCBUSD,2021_02_27__17_22_05,46649
BTCBUSD,2021_02_27__17_22_06,46649
BTCBUSD,2021_02_27__17_22_07,46665
BTCBUSD,2021_02_27__17_22_08,46676
BTCBUSD,2021_02_27__17_22_09,46679
BTCBUSD,2021_02_27__17_22_10,46679
BTCBUSD,2021_02_27__17_22_11,46679
BTCBUSD,2021_02_27__17_22_12,46682
BTCBUSD,2021_02_27__17_22_13,46683
BTCBUSD,2021_02_27__17_22_14,46674
BTCBUSD,2021_02_27__17_22_15,46674
BTCBUSD,2021_02_27__17_22_16,46674
BTCBUSD,2021_02_27__17_22_17,46674
BTCBUSD,2021_02_27__17_22_18,46674
BTCBUSD,2021_02_27__17_22_19,46679
BTCBUSD,2021_02_27__17_22_20,46679
BTCBUSD,2021_02_27__17_22_21,46672
BTCBUSD,2021_02_27__17_22_22,46674
BTCBUSD,2021_02_27__17_22_23,46657
BTCBUSD,2021_02_27__17_22_24,46657
BTCBUSD,2021_02_27__17_22_25,46655
BTCBUSD,2021_02_27__17_22_26,46655
BTCBUSD,2021_02_27__17_22_27,46659
BTCBUSD,2021_02_27__17_22_28,46663
BTCBUSD,2021_02_27__17_22_29,46655
BTCBUSD,2021_02_27__17_22_30,46655
BTCBUSD,2021_02_27__17_22_31,46655
BTCBUSD,2021_02_27__17_22_32,46647
BTCBUSD,2021_02_27__17_22_33,46642
BTCBUSD,2021_02_27__17_22_34,46646
BTCBUSD,2021_02_27__17_22_35,46646
BTCBUSD,2021_02_27__17_22_36,46642
BTCBUSD,2021_02_27__17_22_37,46642
BTCBUSD,2021_02_27__17_22_38,46642
BTCBUSD,2021_02_27__17_22_39,46643
BTCBUSD,2021_02_27__17_22_40,46642
BTCBUSD,2021_02_27__17_22_41,46642
BTCBUSD,2021_02_27__17_22_42,46642
BTCBUSD,2021_02_27__17_22_43,46627
BTCBUSD,2021_02_27__17_22_44,46628
BTCBUSD,2021_02_27__17_22_45,46628
BTCBUSD,2021_02_27__17_22_46,46625
BTCBUSD,2021_02_27__17_22_47,46639
BTCBUSD,2021_02_27__17_22_48,46641
BTCBUSD,2021_02_27__17_22_49,46641
BTCBUSD,2021_02_27__17_22_50,46638
BTCBUSD,2021_02_27__17_22_51,46638
BTCBUSD,2021_02_27__17_22_52,46638
BTCBUSD,2021_02_27__17_22_53,46629
BTCBUSD,2021_02_27__17_22_54,46618
BTCBUSD,2021_02_27__17_22_55,46618
BTCBUSD,2021_02_27__17_22_56,46618
BTCBUSD,2021_02_27__17_22_57,46620
BTCBUSD,2021_02_27__17_22_58,46620
BTCBUSD,2021_02_27__17_22_59,46620
BTCBUSD,2021_02_27__17_23_00,46620
BTCBUSD,2021_02_27__17_23_01,46620
BTCBUSD,2021_02_27__17_23_02,46644
BTCBUSD,2021_02_27__17_23_03,46651
BTCBUSD,2021_02_27__17_23_04,46651
BTCBUSD,2021_02_27__17_23_05,46649
BTCBUSD,2021_02_27__17_23_06,46647
BTCBUSD,2021_02_27__17_23_07,46638
BTCBUSD,2021_02_27__17_23_08,46637
BTCBUSD,2021_02_27__17_23_09,46647
BTCBUSD,2021_02_27__17_23_10,46647
BTCBUSD,2021_02_27__17_23_11,46647
BTCBUSD,2021_02_27__17_23_12,46642
BTCBUSD,2021_02_27__17_23_13,46638
BTCBUSD,2021_02_27__17_23_14,46638
BTCBUSD,2021_02_27__17_23_15,46627
BTCBUSD,2021_02_27__17_23_16,46620
BTCBUSD,2021_02_27__17_23_17,46620
BTCBUSD,2021_02_27__17_23_18,46620
BTCBUSD,2021_02_27__17_23_19,46620
BTCBUSD,2021_02_27__17_23_20,46613
BTCBUSD,2021_02_27__17_23_21,46615
BTCBUSD,2021_02_27__17_23_22,46618
BTCBUSD,2021_02_27__17_23_23,46610
BTCBUSD,2021_02_27__17_23_24,46598
BTCBUSD,2021_02_27__17_23_25,46603
BTCBUSD,2021_02_27__17_23_26,46608
BTCBUSD,2021_02_27__17_23_27,46610
BTCBUSD,2021_02_27__17_23_28,46610
BTCBUSD,2021_02_27__17_23_29,46620
BTCBUSD,2021_02_27__17_23_30,46610
BTCBUSD,2021_02_27__17_23_31,46610
BTCBUSD,2021_02_27__17_23_32,46599
BTCBUSD,2021_02_27__17_23_33,46596
BTCBUSD,2021_02_27__17_23_34,46596
BTCBUSD,2021_02_27__17_23_35,46596
BTCBUSD,2021_02_27__17_23_36,46583
BTCBUSD,2021_02_27__17_23_37,46577
BTCBUSD,2021_02_27__17_23_38,46575
BTCBUSD,2021_02_27__17_23_39,46582
BTCBUSD,2021_02_27__17_23_40,46587
BTCBUSD,2021_02_27__17_23_41,46577
BTCBUSD,2021_02_27__17_23_42,46579
BTCBUSD,2021_02_27__17_23_43,46574
BTCBUSD,2021_02_27__17_23_44,46573
BTCBUSD,2021_02_27__17_23_45,46572
BTCBUSD,2021_02_27__17_23_46,46570
BTCBUSD,2021_02_27__17_23_47,46575
BTCBUSD,2021_02_27__17_23_48,46596
BTCBUSD,2021_02_27__17_23_49,46606
BTCBUSD,2021_02_27__17_23_50,46599
BTCBUSD,2021_02_27__17_23_51,46593
BTCBUSD,2021_02_27__17_23_52,46595
BTCBUSD,2021_02_27__17_23_53,46595
BTCBUSD,2021_02_27__17_23_54,46595
BTCBUSD,2021_02_27__17_23_55,46597
BTCBUSD,2021_02_27__17_23_56,46611
BTCBUSD,2021_02_27__17_23_57,46612
BTCBUSD,2021_02_27__17_23_58,46612
BTCBUSD,2021_02_27__17_23_59,46618
BTCBUSD,2021_02_27__17_24_00,46623
BTCBUSD,2021_02_27__17_24_01,46621
BTCBUSD,2021_02_27__17_24_02,46630
BTCBUSD,2021_02_27__17_24_03,46625
BTCBUSD,2021_02_27__17_24_04,46610
BTCBUSD,2021_02_27__17_24_05,46608
BTCBUSD,2021_02_27__17_24_06,46608
BTCBUSD,2021_02_27__17_24_07,46608
BTCBUSD,2021_02_27__17_24_08,46608
BTCBUSD,2021_02_27__17_24_09,46606
BTCBUSD,2021_02_27__17_24_10,46606
BTCBUSD,2021_02_27__17_24_11,46605
BTCBUSD,2021_02_27__17_24_12,46605
BTCBUSD,2021_02_27__17_24_13,46608
BTCBUSD,2021_02_27__17_24_14,46612
BTCBUSD,2021_02_27__17_24_15,46606
BTCBUSD,2021_02_27__17_24_16,46606
BTCBUSD,2021_02_27__17_24_17,46606
BTCBUSD,2021_02_27__17_24_18,46604
BTCBUSD,2021_02_27__17_24_19,46604
BTCBUSD,2021_02_27__17_24_20,46604
BTCBUSD,2021_02_27__17_24_21,46604
BTCBUSD,2021_02_27__17_24_22,46604
BTCBUSD,2021_02_27__17_24_23,46606
BTCBUSD,2021_02_27__17_24_24,46606
BTCBUSD,2021_02_27__17_24_25,46605
BTCBUSD,2021_02_27__17_24_26,46608
BTCBUSD,2021_02_27__17_24_27,46608
BTCBUSD,2021_02_27__17_24_28,46608
BTCBUSD,2021_02_27__17_24_29,46606
BTCBUSD,2021_02_27__17_24_30,46606
BTCBUSD,2021_02_27__17_24_31,46605
BTCBUSD,2021_02_27__17_24_32,46598
BTCBUSD,2021_02_27__17_24_33,46588
BTCBUSD,2021_02_27__17_24_34,46587
BTCBUSD,2021_02_27__17_24_35,46586
BTCBUSD,2021_02_27__17_24_36,46586
BTCBUSD,2021_02_27__17_24_37,46585
BTCBUSD,2021_02_27__17_24_38,46585
BTCBUSD,2021_02_27__17_24_39,46604
BTCBUSD,2021_02_27__17_24_40,46604
BTCBUSD,2021_02_27__17_24_41,46625
BTCBUSD,2021_02_27__17_24_42,46620
BTCBUSD,2021_02_27__17_24_43,46609
BTCBUSD,2021_02_27__17_24_44,46609
BTCBUSD,2021_02_27__17_24_45,46609
BTCBUSD,2021_02_27__17_24_46,46640
BTCBUSD,2021_02_27__17_24_47,46652
BTCBUSD,2021_02_27__17_24_48,46651
BTCBUSD,2021_02_27__17_24_49,46633
BTCBUSD,2021_02_27__17_24_50,46633
BTCBUSD,2021_02_27__17_24_51,46633
BTCBUSD,2021_02_27__17_24_52,46619
BTCBUSD,2021_02_27__17_24_53,46612
BTCBUSD,2021_02_27__17_24_54,46607
BTCBUSD,2021_02_27__17_24_55,46607
BTCBUSD,2021_02_27__17_24_56,46608
BTCBUSD,2021_02_27__17_24_57,46606
BTCBUSD,2021_02_27__17_24_58,46606
BTCBUSD,2021_02_27__17_24_59,46604
BTCBUSD,2021_02_27__17_25_00,46604
BTCBUSD,2021_02_27__17_25_01,46606
BTCBUSD,2021_02_27__17_25_02,46606
BTCBUSD,2021_02_27__17_25_03,46608
BTCBUSD,2021_02_27__17_25_04,46608
BTCBUSD,2021_02_27__17_25_05,46608
BTCBUSD,2021_02_27__17_25_06,46608
BTCBUSD,2021_02_27__17_25_07,46592
BTCBUSD,2021_02_27__17_25_08,46593
BTCBUSD,2021_02_27__17_25_09,46588
BTCBUSD,2021_02_27__17_25_10,46588
BTCBUSD,2021_02_27__17_25_11,46588
BTCBUSD,2021_02_27__17_25_12,46586
BTCBUSD,2021_02_27__17_25_13,46582
BTCBUSD,2021_02_27__17_25_14,46586
BTCBUSD,2021_02_27__17_25_15,46586
BTCBUSD,2021_02_27__17_25_16,46582
BTCBUSD,2021_02_27__17_25_17,46590
BTCBUSD,2021_02_27__17_25_18,46580
BTCBUSD,2021_02_27__17_25_19,46587
BTCBUSD,2021_02_27__17_25_20,46588
BTCBUSD,2021_02_27__17_25_21,46590
BTCBUSD,2021_02_27__17_25_22,46590
BTCBUSD,2021_02_27__17_25_23,46596
BTCBUSD,2021_02_27__17_25_24,46609
BTCBUSD,2021_02_27__17_25_25,46626
BTCBUSD,2021_02_27__17_25_26,46624
BTCBUSD,2021_02_27__17_25_27,46625
BTCBUSD,2021_02_27__17_25_28,46619
BTCBUSD,2021_02_27__17_25_29,46618
BTCBUSD,2021_02_27__17_25_30,46625
BTCBUSD,2021_02_27__17_25_31,46625
BTCBUSD,2021_02_27__17_25_32,46635
BTCBUSD,2021_02_27__17_25_33,46633
BTCBUSD,2021_02_27__17_25_34,46625
BTCBUSD,2021_02_27__17_25_35,46627
BTCBUSD,2021_02_27__17_25_36,46627
BTCBUSD,2021_02_27__17_25_37,46632
BTCBUSD,2021_02_27__17_25_38,46637
BTCBUSD,2021_02_27__17_25_39,46633
BTCBUSD,2021_02_27__17_25_40,46639
BTCBUSD,2021_02_27__17_25_41,46639
BTCBUSD,2021_02_27__17_25_42,46639
BTCBUSD,2021_02_27__17_25_43,46639
BTCBUSD,2021_02_27__17_25_44,46639
BTCBUSD,2021_02_27__17_25_45,46639
BTCBUSD,2021_02_27__17_25_46,46637
BTCBUSD,2021_02_27__17_25_47,46627
BTCBUSD,2021_02_27__17_25_48,46627
BTCBUSD,2021_02_27__17_25_49,46628
BTCBUSD,2021_02_27__17_25_50,46628
BTCBUSD,2021_02_27__17_25_51,46632
BTCBUSD,2021_02_27__17_25_52,46640
BTCBUSD,2021_02_27__17_25_53,46639
BTCBUSD,2021_02_27__17_25_54,46639
BTCBUSD,2021_02_27__17_25_55,46634
BTCBUSD,2021_02_27__17_25_56,46628
BTCBUSD,2021_02_27__17_25_57,46628
BTCBUSD,2021_02_27__17_25_58,46628
BTCBUSD,2021_02_27__17_25_59,46628
BTCBUSD,2021_02_27__17_26_00,46628
BTCBUSD,2021_02_27__17_26_01,46626
BTCBUSD,2021_02_27__17_26_02,46626
BTCBUSD,2021_02_27__17_26_03,46626
BTCBUSD,2021_02_27__17_26_04,46626
BTCBUSD,2021_02_27__17_26_05,46626
BTCBUSD,2021_02_27__17_26_06,46626
BTCBUSD,2021_02_27__17_26_07,46616
BTCBUSD,2021_02_27__17_26_08,46616
BTCBUSD,2021_02_27__17_26_09,46616
BTCBUSD,2021_02_27__17_26_10,46616
BTCBUSD,2021_02_27__17_26_11,46608
BTCBUSD,2021_02_27__17_26_12,46606
BTCBUSD,2021_02_27__17_26_13,46606
BTCBUSD,2021_02_27__17_26_14,46606
BTCBUSD,2021_02_27__17_26_15,46591
BTCBUSD,2021_02_27__17_26_16,46591
BTCBUSD,2021_02_27__17_26_17,46591
BTCBUSD,2021_02_27__17_26_18,46586
BTCBUSD,2021_02_27__17_26_19,46586
BTCBUSD,2021_02_27__17_26_20,46586
BTCBUSD,2021_02_27__17_26_21,46588
BTCBUSD,2021_02_27__17_26_22,46587
BTCBUSD,2021_02_27__17_26_23,46589
BTCBUSD,2021_02_27__17_26_24,46599
BTCBUSD,2021_02_27__17_26_25,46599
BTCBUSD,2021_02_27__17_26_26,46599
BTCBUSD,2021_02_27__17_26_27,46595
BTCBUSD,2021_02_27__17_26_28,46595
BTCBUSD,2021_02_27__17_26_29,46595
BTCBUSD,2021_02_27__17_26_30,46592
BTCBUSD,2021_02_27__17_26_31,46598
BTCBUSD,2021_02_27__17_26_32,46607
BTCBUSD,2021_02_27__17_26_33,46607
BTCBUSD,2021_02_27__17_26_34,46604
BTCBUSD,2021_02_27__17_26_35,46600
BTCBUSD,2021_02_27__17_26_36,46599
BTCBUSD,2021_02_27__17_26_37,46599
